reference_date,vintage,pub_lag_months,gdp_growth
2021-04-01,1,1,1.95
2021-04-01,2,2,1.1922
2021-04-01,3,3,1.7637
2021-04-01,4,4,1.5789
2021-04-01,5,5,1.5308
2021-07-01,1,1,1.2695
2021-07-01,2,2,1.0443
2021-07-01,3,3,1.4014
2021-07-01,4,4,1.233
2021-07-01,5,5,1.2898
2021-10-01,1,1,1.1898
2021-10-01,2,2,1.8935
2021-10-01,3,3,2.2235
2021-10-01,4,4,1.8487
2021-10-01,5,5,1.8287
2022-01-01,1,1,2.2154
2022-01-01,2,2,2.5622
2022-01-01,3,3,2.1273
2022-01-01,4,4,2.0211
2022-01-01,5,5,2.0725
2022-04-01,1,1,2.4953
2022-04-01,2,2,2.8568
2022-04-01,3,3,2.3267
2022-04-01,4,4,2.1279
2022-04-01,5,5,2.2809
2022-07-01,1,1,3.2668
2022-07-01,2,2,3.0877
2022-07-01,3,3,2.3964
2022-07-01,4,4,2.3934
2022-07-01,5,5,2.4413
2022-10-01,1,1,3.3687
2022-10-01,2,2,3.5867
2022-10-01,3,3,4.0831
2022-10-01,4,4,3.8729
2022-10-01,5,5,3.9222
2023-01-01,1,1,2.8387
2023-01-01,2,2,3.047
2023-01-01,3,3,3.2723
2023-01-01,4,4,2.9317
2023-01-01,5,5,2.9204
2023-04-01,1,1,1.1094
2023-04-01,2,2,2.1162
2023-04-01,3,3,1.9237
2023-04-01,4,4,1.9822
2023-04-01,5,5,2.1345
2023-07-01,1,1,1.1761
2023-07-01,2,2,1.6866
2023-07-01,3,3,1.0115
2023-07-01,4,4,1.347
2023-07-01,5,5,1.3431
2023-10-01,1,1,1.7691
2023-10-01,2,2,2.309
2023-10-01,3,3,2.0675
2023-10-01,4,4,2.1002
2023-10-01,5,5,1.933
2024-01-01,1,1,2.4083
2024-01-01,2,2,2.6723
2024-01-01,3,3,2.8169
2024-01-01,4,4,2.7783
2024-01-01,5,5,2.7563
2024-04-01,1,1,2.3835
2024-04-01,2,2,2.4238
2024-04-01,3,3,2.9676
2024-04-01,4,4,2.5728
2024-04-01,5,5,2.3382
2024-07-01,1,1,1.3209
2024-07-01,2,2,0.9158
2024-07-01,3,3,1.317
2024-07-01,4,4,1.5041
2024-07-01,5,5,1.4646
2024-10-01,1,1,0.5011
2024-10-01,2,2,0.6204
2024-10-01,3,3,0.3288
2024-10-01,4,4,0.8453
2024-10-01,5,5,0.8657
