date,series_1,series_2,series_3,series_4,series_5
1998-10-01,109.46,149.42,145.72,110.41,132.99
1998-11-01,114.7,130.12,139.9,117.05,129.99
1998-12-01,125.43,119.52,144.07,117.5,137.3
1999-01-01,117.06,117.48,155.67,128.49,108.8
1999-02-01,120.6,120.77,157.06,128.22,99.82
1999-03-01,131.61,116.26,155.27,124.28,102.64
1999-04-01,136.28,125.53,140.75,128.67,101.64
1999-05-01,135.96,131.15,140.25,119.58,135.62
1999-06-01,131.74,154.62,123.45,123.4,128.09
1999-07-01,139.71,148.02,130.67,117.07,137.35
1999-08-01,117.76,151.06,125.32,113.18,159.62
1999-09-01,127.18,152.62,141.35,116.46,140.78
1999-10-01,130.97,159.15,144.14,108.45,153.95
1999-11-01,120.82,143.64,148.06,120.82,141.63
1999-12-01,119.55,133.79,152.2,133.67,136.02
2000-01-01,90.12,122.62,164.14,131.86,120.54
2000-02-01,108.09,130.24,163.52,129.16,116.25
2000-03-01,111.23,135.67,161.24,134.64,121.66
2000-04-01,128.67,129.16,154.69,130.33,129.56
2000-05-01,128.84,146.93,150.62,127.02,120.46
2000-06-01,119.69,154.85,127.43,124.25,136.25
2000-07-01,134.5,162.66,128.5,116.37,143.61
2000-08-01,140.15,163.98,142.88,117.07,160.17
2000-09-01,131.21,163.59,141.58,121.41,150.67
2000-10-01,121.68,162.07,149.66,115.81,161.25
2000-11-01,111.03,161.83,163.23,118.26,154.67
2000-12-01,91.31,149.43,173.53,138.63,173.32
2001-01-01,122.75,142.34,179.72,141.28,136.26
2001-02-01,119.23,136.36,176.97,138.87,137.21
2001-03-01,122.64,152.33,167.6,140.41,123.54
2001-04-01,129.44,150.44,172.62,128.19,129.79
2001-05-01,133.6,158.72,153.67,130.79,134.96
2001-06-01,147.54,159.98,151.89,124.42,128.51
2001-07-01,137.94,152.74,153.61,117.77,153.43
2001-08-01,130.15,173.29,146.56,123.84,166.46
2001-09-01,144.88,165.7,152.98,122.03,167.53
2001-10-01,118.2,168.87,166.38,119.03,161.32
2001-11-01,132.65,164.28,169.5,130.59,150.57
2001-12-01,122.73,145.94,178.85,133.79,146.45
2002-01-01,130.56,150.14,189.07,137.51,146.96
2002-02-01,134.81,140.17,180.83,137.0,118.46
2002-03-01,128.11,141.0,186.76,143.76,111.3
2002-04-01,129.48,153.14,161.64,139.68,128.79
2002-05-01,139.26,163.17,168.73,137.46,146.22
2002-06-01,139.73,180.14,150.81,133.74,144.24
2002-07-01,136.11,174.86,161.34,120.37,155.14
2002-08-01,134.45,170.06,147.45,124.62,197.3
2002-09-01,147.84,183.54,172.47,124.07,153.57
2002-10-01,116.05,173.93,165.04,126.03,165.82
2002-11-01,140.35,169.31,177.35,141.71,167.2
2002-12-01,141.08,165.52,190.43,135.91,143.4
2003-01-01,128.1,161.74,185.98,147.1,152.38
2003-02-01,115.69,152.84,191.53,154.01,125.58
2003-03-01,118.17,146.92,190.03,149.9,150.57
2003-04-01,142.24,154.02,180.82,146.09,135.5
2003-05-01,149.49,164.85,177.12,134.94,144.73
2003-06-01,138.06,176.74,166.72,134.59,165.18
2003-07-01,130.22,177.95,171.1,130.43,168.73
2003-08-01,137.71,184.69,173.78,124.71,177.19
2003-09-01,135.0,176.32,167.28,130.75,198.93
2003-10-01,140.74,182.33,176.55,136.17,166.24
2003-11-01,123.13,178.6,192.02,131.81,166.87
2003-12-01,120.6,166.48,183.48,140.79,162.78
2004-01-01,141.64,167.26,192.7,150.22,152.97
2004-02-01,141.61,161.73,193.62,148.6,158.68
2004-03-01,131.66,165.45,194.0,144.64,147.91
2004-04-01,135.75,166.68,196.19,149.94,153.93
2004-05-01,138.17,181.74,185.06,137.86,153.07
2004-06-01,140.25,191.64,167.48,146.3,169.39
2004-07-01,157.35,191.36,163.37,130.65,178.03
2004-08-01,161.53,187.38,179.13,134.61,185.67
2004-09-01,153.77,189.65,189.14,130.22,191.8
2004-10-01,144.58,188.63,191.93,137.66,179.64
2004-11-01,127.14,193.28,202.28,150.49,181.52
2004-12-01,141.1,184.91,207.3,149.94,173.62
2005-01-01,130.22,165.89,197.99,154.13,162.9
2005-02-01,148.35,166.76,209.81,155.12,143.5
2005-03-01,143.98,171.27,203.48,156.83,145.34
2005-04-01,141.88,175.35,212.38,149.37,144.96
2005-05-01,153.48,192.53,197.82,155.66,171.61
2005-06-01,164.58,191.46,186.18,142.98,176.89
2005-07-01,161.28,198.24,177.81,137.94,170.12
2005-08-01,141.21,203.74,178.87,143.33,197.33
2005-09-01,146.52,207.42,185.4,133.62,195.35
2005-10-01,145.81,203.75,207.06,146.73,203.22
2005-11-01,147.44,188.37,211.36,145.05,186.15
2005-12-01,151.95,192.36,206.57,147.23,172.54
2006-01-01,139.03,184.79,239.95,156.19,173.82
2006-02-01,147.42,184.99,222.21,160.46,178.21
2006-03-01,148.46,187.51,210.78,160.79,152.95
2006-04-01,144.86,193.97,206.34,156.0,154.3
2006-05-01,169.23,198.56,202.05,152.06,170.82
2006-06-01,153.44,214.51,195.09,146.1,193.61
2006-07-01,155.43,207.04,194.46,144.38,183.25
2006-08-01,145.6,212.11,201.32,143.63,202.96
2006-09-01,142.51,208.84,199.9,139.79,214.71
2006-10-01,154.73,210.28,222.98,142.28,183.82
2006-11-01,135.9,192.36,208.95,157.62,192.69
2006-12-01,163.21,200.14,218.69,154.27,186.27
2007-01-01,136.05,189.02,232.74,160.0,186.78
2007-02-01,145.81,191.86,232.16,162.32,157.91
2007-03-01,152.19,188.14,218.22,163.86,172.54
2007-04-01,177.58,191.98,222.38,160.82,143.99
2007-05-01,166.95,199.2,207.25,152.13,175.76
2007-06-01,157.42,217.48,206.49,141.76,186.0
