series_id,period,actual,fc_model1,fc_model2,fc_model3
M4_001,58,132.81,133.13,132.2,135.83
M4_001,59,132.45,132.21,127.68,131.98
M4_001,60,133.92,134.49,135.4,137.0
M4_001,61,132.73,135.35,138.42,132.66
M4_001,62,132.9,133.34,128.8,130.51
M4_001,63,133.56,132.74,136.65,131.78
M4_001,64,134.65,136.86,134.16,130.65
M4_001,65,135.86,136.72,136.18,133.34
M4_001,66,137.15,140.22,134.49,135.96
M4_001,67,137.3,137.67,136.8,139.01
M4_001,68,137.34,134.89,141.74,141.34
M4_001,69,138.7,135.96,140.95,134.94
M4_001,70,139.01,142.31,144.71,139.69
M4_001,71,138.23,141.68,142.27,135.33
M4_001,72,137.6,137.24,139.42,138.49
M4_001,73,137.18,136.41,142.91,136.55
M4_001,74,138.18,141.1,139.99,133.3
M4_001,75,138.82,136.61,141.8,140.84
M4_001,76,140.01,138.22,139.62,138.2
M4_001,77,140.08,141.37,140.78,138.45
M4_001,78,140.74,139.95,139.15,137.77
M4_001,79,141.87,141.86,145.34,139.93
M4_001,80,142.06,141.73,139.02,142.83
M4_001,81,143.01,143.69,145.86,142.24
M4_001,82,142.85,145.67,142.78,143.37
M4_001,83,142.99,143.17,147.0,143.59
M4_001,84,143.11,144.4,145.86,146.11
M4_001,85,142.41,138.31,148.37,141.25
M4_001,86,143.4,143.3,146.09,139.41
M4_001,87,143.43,141.74,139.21,145.8
M4_001,88,143.94,141.5,144.24,142.81
M4_001,89,144.92,143.17,141.91,147.41
M4_001,90,145.87,145.2,144.81,146.53
M4_001,91,147.03,148.87,152.07,146.41
M4_001,92,147.44,144.78,149.85,148.01
M4_001,93,147.51,147.57,145.92,152.09
M4_001,94,147.93,146.96,145.39,152.83
M4_001,95,146.75,146.09,147.34,146.62
M4_001,96,145.8,147.8,142.65,145.9
M4_001,97,144.98,146.05,143.46,147.37
M4_001,98,144.48,147.15,145.91,142.06
M4_001,99,145.38,145.07,149.34,145.91
M4_001,100,144.97,143.58,147.3,144.61
M4_001,101,145.09,144.65,138.72,145.58
M4_001,102,146.89,147.38,148.31,144.51
M4_001,103,147.04,147.39,147.75,142.76
M4_001,104,148.28,146.11,150.02,142.79
M4_001,105,147.84,148.02,153.19,144.75
M4_001,106,148.14,148.59,142.45,146.69
M4_001,107,147.69,152.72,146.41,146.65
M4_001,108,147.85,151.6,150.12,152.39
M4_001,109,149.19,147.48,144.94,151.65
M4_001,110,147.96,147.39,152.89,145.26
M4_001,111,148.89,145.97,150.5,149.46
M4_001,112,149.63,148.45,152.67,148.31
M4_001,113,149.54,150.17,148.33,148.53
M4_001,114,148.59,151.0,151.53,148.76
M4_001,115,149.16,147.71,152.87,150.41
M4_001,116,149.13,147.83,150.33,147.99
M4_001,117,149.87,145.57,151.07,152.23
M4_001,118,150.39,150.06,151.7,147.23
M4_001,119,152.49,150.37,150.4,152.21
M4_001,120,152.75,151.69,152.81,158.95
M4_002,1,100.72,101.75,100.93,105.19
M4_002,2,102.66,101.5,106.54,102.45
M4_002,3,103.25,105.8,96.91,107.33
M4_002,4,104.33,103.07,100.34,103.8
M4_002,5,104.77,103.5,102.5,104.8
M4_002,6,105.1,106.18,109.98,105.72
M4_002,7,104.82,106.35,106.17,112.47
M4_002,8,105.75,106.65,108.55,107.58
M4_002,9,105.4,102.03,102.48,103.33
M4_002,10,106.57,107.64,103.71,108.69
M4_002,11,108.15,106.08,109.99,106.95
M4_002,12,109.02,109.49,109.69,107.49
M4_002,13,109.23,106.38,111.38,111.2
M4_002,14,110.19,111.08,110.12,109.96
M4_002,15,110.38,108.76,111.71,110.77
M4_002,16,111.81,109.25,112.79,111.55
M4_002,17,110.48,111.91,113.31,111.02
M4_002,18,110.65,111.13,113.57,111.41
M4_002,19,109.15,107.93,104.8,104.01
M4_002,20,108.16,111.06,101.92,109.53
M4_002,21,110.02,109.14,113.53,107.27
M4_002,22,111.42,111.48,115.48,107.51
M4_002,23,111.2,111.74,108.64,110.75
M4_002,24,110.2,108.96,105.12,110.11
M4_002,25,107.73,108.67,108.53,105.7
M4_002,26,107.69,106.62,110.98,109.47
M4_002,27,110.61,109.79,116.5,106.95
M4_002,28,111.54,114.27,113.59,110.23
M4_002,29,111.48,109.4,110.87,109.72
M4_002,30,112.45,107.62,110.27,112.03
M4_002,31,111.39,114.61,111.92,111.79
M4_002,32,111.59,116.69,111.19,108.77
M4_002,33,112.19,111.38,109.65,113.7
M4_002,34,112.6,108.73,119.25,112.46
M4_002,35,113.9,113.27,119.75,108.87
M4_002,36,114.74,114.17,118.65,109.54
M4_002,37,115.91,115.53,113.65,115.58
M4_002,38,115.72,113.49,118.79,114.87
M4_002,39,117.12,118.28,119.54,116.56
M4_002,40,119.25,120.3,121.07,118.88
M4_002,41,118.78,115.79,123.03,119.04
M4_002,42,118.39,119.79,120.8,120.46
M4_002,43,120.22,124.33,122.94,117.15
M4_002,44,120.53,120.88,122.94,117.3
M4_002,45,122.44,121.76,123.96,119.4
M4_002,46,122.49,122.21,117.64,122.92
M4_002,47,124.45,125.68,125.2,127.26
M4_002,48,125.08,121.62,123.91,123.7
M4_002,49,125.84,126.17,122.5,119.29
M4_002,50,127.9,127.12,133.45,123.34
M4_002,51,128.04,131.74,133.73,125.66
M4_002,52,127.6,127.25,132.18,125.91
M4_002,53,127.65,130.99,128.92,126.33
M4_002,54,128.61,126.4,133.16,128.4
M4_002,55,127.54,128.71,128.08,126.46
M4_002,56,128.68,129.32,129.79,131.0
M4_002,57,128.64,126.9,125.86,126.65
M4_002,58,130.29,130.64,131.98,127.83
M4_002,59,128.39,130.82,129.07,129.29
M4_002,60,128.11,127.46,124.7,123.97
M4_002,61,126.92,123.53,127.26,127.59
M4_002,62,126.59,126.56,126.85,126.55
M4_002,63,127.34,125.54,133.23,126.67
M4_002,64,127.66,126.98,130.84,131.33
M4_002,65,127.91,127.74,128.44,126.05
M4_002,66,128.25,124.84,129.49,133.1
M4_002,67,128.95,125.72,129.58,128.09
M4_002,68,128.44,129.41,128.33,124.95
M4_002,69,129.65,128.6,126.9,129.52
M4_002,70,130.81,125.68,130.86,127.82
M4_002,71,131.7,133.27,129.96,129.52
M4_002,72,132.75,133.3,129.5,133.45
M4_002,73,133.55,132.12,135.58,134.64
M4_002,74,136.09,133.45,137.76,134.23
M4_002,75,136.5,138.17,131.64,138.67
M4_002,76,136.69,137.39,136.82,139.29
M4_002,77,136.44,141.2,139.93,139.73
M4_002,78,135.91,136.75,139.58,136.93
M4_002,79,135.16,135.94,138.74,138.27
M4_002,80,134.77,134.44,135.39,129.77
M4_002,81,135.2,136.84,133.17,134.11
M4_002,82,136.04,137.29,133.28,133.57
M4_002,83,136.59,139.09,138.12,136.59
M4_002,84,136.32,135.28,137.96,134.59
M4_002,85,137.72,136.85,142.08,137.01
M4_002,86,138.96,138.0,142.76,143.37
M4_002,87,139.3,140.88,139.4,138.58
M4_002,88,139.15,142.15,135.92,139.88
M4_002,89,140.2,139.28,139.74,139.32
M4_002,90,140.89,140.04,142.04,140.77
M4_002,91,139.94,140.57,139.83,139.65
M4_002,92,140.37,139.88,139.14,141.19
M4_002,93,141.13,143.04,142.39,143.74
M4_002,94,140.73,136.23,139.72,144.55
M4_002,95,141.42,139.77,140.04,141.9
M4_002,96,140.47,138.9,141.9,141.64
M4_002,97,142.3,137.66,141.6,139.13
M4_002,98,144.05,142.12,145.28,143.53
M4_002,99,144.3,142.47,145.62,146.35
M4_002,100,145.16,144.76,142.24,147.03
M4_002,101,143.25,145.48,142.31,143.48
M4_002,102,142.6,142.11,147.41,144.51
M4_002,103,142.8,140.74,139.82,143.73
M4_002,104,142.23,142.12,136.38,144.93
M4_002,105,143.44,145.54,138.36,143.87
M4_002,106,145.94,143.99,146.53,144.75
M4_002,107,145.26,143.44,145.86,145.8
M4_002,108,144.93,146.04,145.07,137.3
M4_002,109,145.66,145.22,149.8,146.32
M4_002,110,147.77,149.07,140.25,138.35
M4_002,111,147.05,147.02,148.74,142.44
M4_002,112,147.8,149.2,152.98,148.63
M4_002,113,150.12,148.05,147.24,151.02
M4_002,114,148.97,148.95,148.33,145.76
M4_002,115,148.19,147.77,146.43,146.11
M4_002,116,148.26,145.83,146.08,151.39
M4_002,117,148.24,145.12,147.77,146.73
M4_002,118,149.56,150.93,154.34,154.86
M4_002,119,150.3,149.6,156.31,149.99
M4_002,120,149.02,146.98,148.52,149.74
M4_003,1,104.85,105.34,101.38,102.65
M4_003,2,107.89,107.59,106.93,106.19
M4_003,3,109.98,110.85,111.74,109.63
M4_003,4,114.67,114.79,114.86,110.46
M4_003,5,112.88,113.1,111.43,113.16
M4_003,6,103.41,102.59,101.88,105.52
M4_003,7,99.23,96.44,97.6,99.66
M4_003,8,90.27,87.19,88.13,86.0
M4_003,9,89.78,91.09,97.13,89.17
M4_003,10,85.1,84.55,86.5,86.66
M4_003,11,86.16,84.97,89.32,81.17
M4_003,12,92.18,92.2,91.21,89.19
M4_003,13,100.67,102.26,100.61,102.56
M4_003,14,109.35,109.71,107.71,109.73
M4_003,15,109.99,108.68,102.54,110.72
M4_003,16,111.88,114.33,108.24,116.22
M4_003,17,116.3,119.46,111.37,117.18
M4_003,18,106.26,107.25,100.01,107.61
M4_003,19,95.75,97.7,92.66,102.23
M4_003,20,93.83,96.32,98.31,93.0
M4_003,21,88.4,90.66,88.77,86.11
M4_003,22,80.41,81.64,84.78,81.18
M4_003,23,87.7,88.89,89.43,88.5
M4_003,24,94.71,95.75,97.55,93.09
M4_003,25,101.12,98.93,98.92,98.24
M4_003,26,109.4,110.8,111.47,114.87
M4_003,27,108.78,106.07,111.46,109.29
M4_003,28,115.99,114.4,114.76,113.86
M4_003,29,112.08,114.69,114.26,114.07
M4_003,30,106.05,107.73,108.25,105.48
M4_003,31,102.61,105.59,101.46,101.68
M4_003,32,96.94,96.39,94.07,98.04
M4_003,33,92.39,90.09,89.34,88.86
M4_003,34,88.94,88.46,89.7,89.53
M4_003,35,86.68,86.88,88.16,91.16
M4_003,36,93.56,93.72,91.68,94.42
M4_003,37,102.3,104.57,102.88,101.06
M4_003,38,107.86,107.14,110.08,106.3
M4_003,39,113.38,114.09,115.74,112.06
M4_003,40,117.47,115.49,122.63,116.54
M4_003,41,112.81,113.71,117.14,111.57
M4_003,42,105.31,105.32,102.81,107.3
M4_003,43,98.76,97.26,104.31,94.12
M4_003,44,94.4,93.93,93.31,96.26
M4_003,45,87.02,86.65,90.65,85.77
M4_003,46,86.02,85.48,86.72,86.66
M4_003,47,89.02,92.56,88.28,85.9
M4_003,48,91.38,91.18,86.45,94.4
M4_003,49,102.27,101.78,102.25,105.08
M4_003,50,108.64,104.44,104.46,110.74
M4_003,51,109.29,107.5,112.69,105.2
M4_003,52,119.33,118.8,124.38,121.1
M4_003,53,111.49,110.12,109.6,112.2
M4_003,54,102.53,105.3,103.94,98.22
M4_003,55,96.86,96.53,95.19,96.5
M4_003,56,89.44,92.01,88.05,90.05
M4_003,57,87.17,87.29,89.99,88.26
M4_003,58,84.18,84.25,84.56,84.32
M4_003,59,86.0,85.82,91.72,86.43
M4_003,60,94.36,94.37,93.41,97.74
M4_003,61,101.02,104.46,104.52,103.78
M4_003,62,108.45,103.81,109.24,100.98
M4_003,63,114.22,110.22,117.11,113.13
M4_003,64,116.85,115.76,116.01,116.14
M4_003,65,106.67,106.7,107.02,101.99
M4_003,66,106.41,107.79,106.56,106.34
M4_003,67,93.46,94.41,91.45,96.28
M4_003,68,92.61,91.84,95.09,89.59
M4_003,69,87.0,89.03,89.45,87.54
M4_003,70,88.14,90.2,90.42,85.55
M4_003,71,90.57,90.94,95.68,88.59
M4_003,72,93.11,95.03,97.96,96.5
M4_003,73,98.5,99.04,97.87,96.84
M4_003,74,108.96,107.83,110.57,109.81
M4_003,75,111.41,112.8,110.04,106.43
M4_003,76,115.0,115.22,115.57,119.35
M4_003,77,115.95,115.95,114.65,117.16
M4_003,78,105.83,108.77,111.19,105.07
M4_003,79,102.42,97.52,104.01,103.56
M4_003,80,94.53,91.7,94.38,90.71
M4_003,81,84.15,81.77,88.23,86.8
M4_003,82,87.92,87.2,81.91,86.81
M4_003,83,89.11,88.6,83.56,88.3
M4_003,84,92.81,89.79,95.69,91.28
M4_003,85,97.71,95.74,98.39,95.96
M4_003,86,104.92,103.2,106.17,106.36
M4_003,87,111.38,116.29,107.9,111.72
M4_003,88,116.63,120.23,117.06,117.96
M4_003,89,110.12,109.3,116.63,109.8
M4_003,90,108.81,108.09,111.79,109.8
M4_003,91,96.27,93.98,97.28,94.93
M4_003,92,91.89,88.07,91.07,97.16
M4_003,93,87.34,87.1,86.65,83.12
M4_003,94,92.34,90.34,86.45,95.19
M4_003,95,82.88,82.71,84.15,86.0
M4_003,96,96.92,93.72,99.95,94.49
M4_003,97,100.45,98.93,96.22,105.72
M4_003,98,108.73,109.03,107.25,110.92
M4_003,99,113.35,114.08,110.37,115.47
M4_003,100,116.33,117.17,113.94,116.1
M4_003,101,112.53,109.89,113.19,111.69
M4_003,102,111.86,113.57,106.11,111.04
M4_003,103,98.63,97.03,100.97,99.31
M4_003,104,95.9,97.16,98.66,99.1
M4_003,105,85.08,85.06,84.82,85.23
M4_003,106,84.82,82.07,77.88,82.24
M4_003,107,83.79,83.16,81.3,85.55
M4_003,108,93.87,94.6,98.06,95.87
M4_003,109,104.34,105.56,96.5,105.67
M4_003,110,107.27,106.99,106.73,108.83
M4_003,111,112.4,115.46,109.36,111.42
M4_003,112,111.66,113.67,114.57,109.03
M4_003,113,112.3,111.79,110.78,109.83
M4_003,114,102.72,104.22,104.43,98.33
M4_003,115,97.26,101.13,99.46,97.55
M4_003,116,93.18,97.1,99.19,92.67
M4_003,117,90.97,88.51,90.86,89.57
M4_003,118,93.43,91.57,95.06,85.74
M4_003,119,85.25,88.22,81.29,81.83
M4_003,120,96.81,94.69,100.88,99.31
M4_004,1,98.01,97.22,94.0,97.61
M4_004,2,108.58,108.86,106.01,109.39
M4_004,3,108.82,107.19,107.7,107.76
M4_004,4,119.32,117.02,123.5,117.99
M4_004,5,112.56,110.68,111.14,112.49
M4_004,6,108.37,107.1,110.79,103.27
M4_004,7,106.98,104.65,105.86,107.87
M4_004,8,97.05,97.37,98.29,96.75
M4_004,9,86.09,87.55,86.17,85.89
M4_004,10,83.22,80.05,86.34,85.32
M4_004,11,86.03,86.08,84.93,80.85
M4_004,12,94.03,93.59,89.81,88.8
M4_004,13,99.68,100.37,96.04,100.07
M4_004,14,106.31,106.29,105.22,106.0
M4_004,15,117.39,114.48,114.14,117.52
M4_004,16,114.66,112.13,116.39,113.2
M4_004,17,119.89,119.95,118.99,121.25
M4_004,18,107.77,109.83,115.4,109.8
M4_004,19,105.36,100.93,100.64,106.27
M4_004,20,93.57,94.26,94.68,92.62
M4_004,21,89.9,92.28,87.01,84.33
M4_004,22,82.83,82.52,81.85,84.45
M4_004,23,84.45,85.55,85.37,87.2
M4_004,24,93.88,92.47,87.4,95.19
M4_004,25,102.97,102.73,104.18,100.47
M4_004,26,107.62,104.38,113.83,109.01
M4_004,27,109.13,104.44,108.27,110.98
M4_004,28,110.92,112.8,112.2,114.52
M4_004,29,108.71,106.74,112.28,106.22
M4_004,30,102.2,101.29,102.21,101.33
M4_004,31,100.33,97.56,99.09,101.9
M4_004,32,95.88,93.06,89.55,95.72
M4_004,33,86.97,86.62,89.39,83.88
M4_004,34,78.22,76.76,78.38,78.96
M4_004,35,86.44,87.19,83.9,87.58
M4_004,36,92.01,92.92,92.89,91.93
M4_004,37,106.29,106.93,105.04,106.54
M4_004,38,103.13,103.61,102.04,102.18
M4_004,39,111.82,114.97,114.14,115.21
M4_004,40,120.12,117.98,116.6,117.57
M4_004,41,114.34,114.23,117.98,112.57
M4_004,42,109.19,111.46,105.5,108.92
M4_004,43,100.34,102.87,98.86,102.24
M4_004,44,93.49,90.65,99.76,89.45
M4_004,45,89.34,88.72,93.22,85.77
M4_004,46,82.57,85.29,83.36,77.18
M4_004,47,89.64,90.66,87.32,89.43
M4_004,48,88.38,88.77,87.29,85.29
M4_004,49,100.99,100.55,101.7,99.72
M4_004,50,108.04,107.27,108.65,109.39
M4_004,51,111.14,111.72,111.37,109.24
M4_004,52,114.93,114.43,115.34,115.21
M4_004,53,111.12,111.04,110.98,110.07
M4_004,54,104.28,104.44,100.46,105.67
M4_004,55,98.94,97.58,97.89,99.83
M4_004,56,89.19,90.25,92.43,87.16
M4_004,57,87.98,93.81,84.37,87.26
M4_004,58,81.55,78.0,81.48,83.86
M4_004,59,89.15,89.79,87.19,89.83
M4_004,60,88.96,87.44,89.79,85.16
M4_004,61,98.3,99.46,97.64,99.64
M4_004,62,105.63,105.72,110.56,102.61
M4_004,63,116.97,118.49,118.99,120.2
M4_004,64,115.99,118.34,112.56,118.25
M4_004,65,112.36,112.74,114.87,112.78
M4_004,66,109.0,111.26,107.17,109.09
M4_004,67,93.68,88.99,92.45,92.86
M4_004,68,92.37,95.55,93.81,93.77
M4_004,69,93.0,93.75,92.03,91.78
M4_004,70,85.4,87.55,88.58,85.69
M4_004,71,87.21,84.77,85.39,89.09
M4_004,72,94.14,92.48,92.79,92.44
M4_004,73,102.69,102.98,101.22,100.85
M4_004,74,101.51,101.47,100.31,98.22
M4_004,75,107.94,108.51,111.74,104.98
M4_004,76,115.63,117.8,118.02,110.76
M4_004,77,110.85,107.32,116.48,112.37
M4_004,78,111.44,113.38,118.74,115.66
M4_004,79,99.05,99.07,96.46,102.32
M4_004,80,86.7,86.29,87.41,82.33
M4_004,81,83.21,80.26,80.18,84.72
M4_004,82,76.75,77.76,74.92,80.01
M4_004,83,86.31,81.48,84.92,84.87
M4_004,84,91.93,93.23,89.26,91.89
M4_004,85,98.73,95.74,96.07,93.41
M4_004,86,110.74,110.84,110.8,111.1
M4_004,87,116.59,116.35,113.44,113.63
M4_004,88,114.49,116.83,117.52,114.69
M4_004,89,106.59,106.23,104.33,102.38
M4_004,90,109.35,107.96,118.28,110.41
M4_004,91,101.67,100.65,100.81,103.93
M4_004,92,93.43,95.97,94.14,91.17
M4_004,93,89.95,91.03,86.57,86.81
M4_004,94,81.51,80.73,87.12,75.82
M4_004,95,93.04,92.56,96.89,92.07
M4_004,96,89.62,86.49,91.01,87.87
M4_004,97,102.25,103.02,98.71,98.07
M4_004,98,102.44,98.92,103.57,103.27
M4_004,99,110.2,111.7,107.34,108.77
M4_004,100,119.55,119.81,124.44,116.56
M4_004,101,112.21,116.98,115.14,110.52
M4_004,102,110.02,107.82,110.81,112.4
M4_004,103,100.71,100.51,93.9,101.92
M4_004,104,92.19,95.78,89.73,91.56
M4_004,105,91.1,93.48,93.66,92.35
M4_004,106,84.29,82.9,88.43,81.09
M4_004,107,81.67,82.12,85.49,81.45
M4_004,108,90.09,90.09,85.81,90.16
M4_004,109,101.65,102.22,103.06,100.18
M4_004,110,108.69,107.29,112.23,109.48
M4_004,111,108.29,108.11,103.81,106.04
M4_004,112,112.83,109.63,113.3,113.8
M4_004,113,111.25,111.52,112.57,112.32
M4_004,114,106.4,107.3,106.0,98.81
M4_004,115,95.87,95.42,90.82,98.55
M4_004,116,90.61,87.38,90.14,82.7
M4_004,117,84.82,86.8,84.34,82.98
M4_004,118,87.31,88.04,87.37,89.58
M4_004,119,89.44,87.98,88.25,88.34
M4_004,120,92.06,91.5,91.23,88.1
M4_005,1,100.0,100.59,98.27,94.74
M4_005,2,94.53,96.38,93.47,97.32
M4_005,3,101.31,102.63,98.97,101.04
M4_005,4,91.31,95.14,95.71,93.77
M4_005,5,99.56,98.03,101.96,99.95
M4_005,6,99.42,96.66,101.73,100.26
M4_005,7,93.63,91.64,97.87,94.24
M4_005,8,92.63,93.95,101.56,94.07
M4_005,9,89.75,90.75,85.12,95.15
M4_005,10,97.16,97.36,95.44,99.28
M4_005,11,101.67,99.43,100.32,97.42
M4_005,12,92.57,94.11,90.52,93.39
M4_005,13,92.78,90.33,90.05,95.34
M4_005,14,90.63,92.95,90.23,93.34
M4_005,15,99.91,105.63,96.76,98.54
M4_005,16,93.19,93.92,94.69,95.8
M4_005,17,103.25,104.42,103.91,105.27
M4_005,18,102.11,101.12,104.05,108.24
M4_005,19,95.67,92.05,97.69,93.49
M4_005,20,93.58,92.38,95.89,92.01
M4_005,21,91.5,89.31,90.88,90.43
M4_005,22,87.68,84.78,94.54,86.15
M4_005,23,91.85,95.29,93.05,89.32
M4_005,24,88.15,88.7,83.07,80.95
M4_005,25,80.81,81.56,78.3,79.42
M4_005,26,84.67,84.05,79.94,85.29
M4_005,27,80.25,79.91,80.8,78.72
M4_005,28,82.42,84.34,82.55,86.95
M4_005,29,83.15,83.08,82.24,82.88
M4_005,30,83.85,84.91,90.38,86.77
M4_005,31,98.7,98.3,100.84,99.05
M4_005,32,99.37,98.69,102.05,101.14
M4_005,33,100.79,97.97,98.49,101.18
M4_005,34,91.67,87.71,89.17,94.79
M4_005,35,90.9,90.37,91.51,90.74
M4_005,36,94.7,94.82,95.72,95.65
M4_005,37,91.17,88.6,86.1,91.79
M4_005,38,98.36,98.29,98.32,97.34
M4_005,39,92.84,92.95,93.38,93.55
M4_005,40,93.56,89.24,93.41,98.84
M4_005,41,92.56,90.73,90.62,91.58
M4_005,42,95.61,96.43,94.49,96.36
M4_005,43,93.73,94.5,93.7,96.57
M4_005,44,94.25,91.95,95.03,96.8
M4_005,45,94.8,95.11,97.11,94.53
M4_005,46,92.69,94.73,96.43,86.43
M4_005,47,97.31,98.86,96.92,98.3
M4_005,48,99.31,99.12,98.44,93.46
M4_005,49,99.07,98.14,100.88,102.45
M4_005,50,97.2,95.94,99.53,97.32
M4_005,51,102.02,102.96,101.22,104.22
M4_005,52,100.24,100.63,103.11,97.68
M4_005,53,98.63,99.89,102.07,94.45
M4_005,54,99.57,99.83,103.94,99.92
M4_005,55,108.18,109.82,114.01,107.79
M4_005,56,99.02,99.21,96.92,97.49
M4_005,57,103.17,104.73,103.71,103.08
M4_005,58,92.75,94.49,93.28,99.37
M4_005,59,96.01,94.4,96.22,97.8
M4_005,60,105.08,101.47,103.64,107.41
M4_005,61,106.0,109.09,102.05,107.81
M4_005,62,105.05,105.57,105.83,108.45
M4_005,63,100.74,97.31,98.93,99.96
M4_005,64,100.67,99.24,101.43,95.23
M4_005,65,99.21,100.75,97.33,98.44
M4_005,66,95.52,94.96,92.72,97.25
M4_005,67,95.41,94.39,96.61,92.69
M4_005,68,97.78,100.58,98.73,97.04
M4_005,69,94.61,92.52,96.85,92.58
M4_005,70,92.2,90.6,99.25,95.65
M4_005,71,87.74,88.16,89.07,89.31
M4_005,72,93.37,94.15,95.32,94.7
M4_005,73,98.08,99.08,95.35,99.34
M4_005,74,99.82,101.64,96.46,99.42
M4_005,75,104.7,105.1,109.95,104.89
M4_005,76,103.73,104.71,101.46,100.47
M4_005,77,104.57,104.05,101.94,98.8
M4_005,78,104.72,104.84,105.1,104.79
M4_005,79,102.84,103.06,103.07,103.35
M4_005,80,99.34,99.77,97.13,102.06
M4_005,81,110.61,112.15,110.19,114.24
M4_005,82,105.17,106.28,109.35,108.79
M4_005,83,100.29,100.37,98.37,97.49
M4_005,84,102.37,100.75,98.69,101.19
M4_005,85,102.92,103.05,106.25,103.82
M4_005,86,95.02,94.96,97.0,101.05
M4_005,87,102.13,102.51,100.77,105.53
M4_005,88,101.02,105.43,96.77,103.52
M4_005,89,95.16,94.11,93.42,93.89
M4_005,90,102.55,103.4,102.89,100.05
M4_005,91,104.92,107.05,108.91,106.59
M4_005,92,97.12,97.31,94.51,94.07
M4_005,93,106.87,111.54,107.12,105.97
M4_005,94,108.1,107.35,110.63,107.52
M4_005,95,105.62,106.27,98.98,109.3
M4_005,96,111.89,110.29,115.49,110.7
M4_005,97,109.12,108.41,106.07,102.72
M4_005,98,106.24,106.74,107.74,107.2
M4_005,99,101.07,102.76,102.31,99.02
M4_005,100,103.66,104.29,107.41,103.46
M4_005,101,104.94,107.46,107.1,104.43
M4_005,102,103.53,103.34,96.9,102.55
M4_005,103,98.52,97.86,96.67,100.2
M4_005,104,99.62,105.02,100.53,95.48
M4_005,105,99.38,100.17,99.3,97.79
M4_005,106,92.9,91.46,94.83,94.31
M4_005,107,87.67,86.28,90.54,85.84
M4_005,108,94.2,92.31,96.52,89.87
M4_005,109,82.93,84.8,82.78,84.3
M4_005,110,89.08,88.35,84.04,91.58
M4_005,111,89.96,90.22,89.1,89.55
M4_005,112,99.52,99.39,101.26,94.31
M4_005,113,97.19,98.66,94.42,98.66
M4_005,114,101.33,99.64,103.73,96.88
M4_005,115,98.95,96.8,102.17,99.42
M4_005,116,99.83,100.28,100.71,97.31
M4_005,117,103.57,104.77,94.88,100.37
M4_005,118,100.18,100.85,96.85,98.78
M4_005,119,105.11,103.49,111.27,104.35
M4_005,120,98.61,99.96,97.47,96.7
M4_006,1,100.0,101.11,102.49,101.58
M4_006,2,102.94,99.52,101.69,104.82
M4_006,3,99.83,99.4,102.1,97.79
M4_006,4,104.78,108.35,105.02,100.44
M4_006,5,104.75,104.33,102.35,103.12
M4_006,6,99.84,96.24,97.47,101.76
