date,gdp_growth,cpi_inflation,fed_funds_rate,unemployment
2016-02-01,-0.298,0.2246,1.1403,5.7955
2016-03-01,-0.0841,0.3801,1.1992,5.7309
2016-04-01,0.0054,0.2174,1.2104,5.7816
2016-05-01,0.1822,0.1777,1.1324,5.6385
2016-06-01,0.0912,0.2521,1.2014,5.7003
2016-07-01,0.1401,0.2699,1.1941,5.6276
2016-08-01,0.2702,0.2013,1.1837,5.49
2016-09-01,0.1808,0.1776,1.1443,5.5696
2016-10-01,0.2669,0.0368,1.1124,5.5866
2016-11-01,0.1078,0.0519,1.1367,5.5414
2016-12-01,0.0482,0.0597,1.1305,5.7131
2017-01-01,-0.0002,0.115,1.1558,5.6976
2017-02-01,-0.1993,0.075,1.1783,5.7598
2017-03-01,-0.0121,0.1496,1.2557,5.8157
2017-04-01,-0.0629,0.256,1.2591,5.7887
2017-05-01,-0.0047,0.2448,1.2045,5.8629
2017-06-01,0.1326,0.2565,1.2794,5.8138
2017-07-01,0.2288,0.2349,1.2808,5.7639
2017-08-01,0.3447,0.2144,1.3523,5.8755
2017-09-01,0.2788,0.1279,1.3772,5.7534
2017-10-01,0.1644,0.1712,1.3803,5.5148
2017-11-01,0.1474,0.1601,1.4061,5.6884
2017-12-01,-0.1869,0.3714,1.5327,6.0007
2018-01-01,-0.3896,0.4673,1.6726,6.0386
2018-02-01,-0.5168,0.4157,1.7042,5.9413
2018-03-01,-0.547,0.2647,1.7246,6.014
2018-04-01,-0.2903,0.124,1.7763,6.0485
2018-05-01,-0.3588,0.2559,1.7441,6.1019
2018-06-01,-0.3048,0.2554,1.7714,6.0532
2018-07-01,0.0713,0.2768,1.7824,6.1189
2018-08-01,0.0222,0.0693,1.7893,6.1844
2018-09-01,0.2042,0.1913,1.751,6.0188
2018-10-01,0.0064,0.2293,1.6794,6.1072
2018-11-01,0.0037,0.0995,1.5722,6.3287
2018-12-01,-0.1472,0.0725,1.5121,6.3781
2019-01-01,-0.1382,0.1271,1.4916,6.3738
2019-02-01,0.1044,0.1442,1.4816,6.3527
2019-03-01,-0.2272,0.1217,1.581,6.4578
2019-04-01,-0.0435,0.1249,1.6371,6.2975
2019-05-01,0.0549,0.1122,1.5875,6.3168
2019-06-01,-0.0376,0.1438,1.6075,6.2938
2019-07-01,-0.2774,0.2978,1.6048,6.5314
2019-08-01,-0.1537,0.0018,1.5787,6.5411
2019-09-01,-0.1811,0.0276,1.5791,6.7388
2019-10-01,-0.0493,0.087,1.6072,6.6337
2019-11-01,0.0074,0.1405,1.5921,6.6923
2019-12-01,0.3659,0.1111,1.6446,6.6686
2020-01-01,0.2665,-0.0479,1.5698,6.5417
2020-02-01,0.0352,0.0493,1.5637,6.5579
2020-03-01,0.1023,0.2572,1.708,6.667
2020-04-01,0.1607,0.0767,1.7127,6.6105
2020-05-01,0.4324,0.1901,1.7891,6.3782
2020-06-01,0.5313,0.1502,1.7929,6.3054
2020-07-01,0.5098,0.149,1.821,6.1495
2020-08-01,0.715,0.049,1.8066,6.0235
2020-09-01,0.3385,0.0509,1.787,5.9839
2020-10-01,0.1659,0.2156,1.7539,5.8089
2020-11-01,-0.0209,0.2592,1.7862,5.6762
2020-12-01,-0.0536,0.4047,1.7684,5.7622
2021-01-01,-0.2755,0.451,1.8314,5.7784
2021-02-01,-0.0396,0.4096,1.91,5.5545
2021-03-01,-0.0342,0.5111,1.9613,5.6714
2021-04-01,-0.2798,0.4517,1.9729,5.7705
2021-05-01,-0.373,0.449,2.021,5.782
2021-06-01,-0.177,0.3346,2.0186,5.7034
2021-07-01,0.0749,0.2909,2.0741,5.8046
2021-08-01,0.4955,0.1839,1.9795,5.7911
2021-09-01,0.9944,0.2777,1.9709,5.9065
2021-10-01,0.8687,0.1265,1.8646,5.841
2021-11-01,0.4936,0.2168,1.7942,5.8305
2021-12-01,-0.0162,0.1827,1.8648,5.8413
2022-01-01,0.0814,0.295,1.9217,5.9355
2022-02-01,-0.0615,0.3316,1.9005,6.0292
2022-03-01,-0.0892,0.4642,1.8538,6.1869
2022-04-01,-0.1493,0.448,1.7333,6.1716
2022-05-01,-0.1002,0.2064,1.7121,6.1579
2022-06-01,0.1781,0.1878,1.8376,6.0985
2022-07-01,0.205,0.0642,1.849,6.1639
2022-08-01,0.162,0.0431,1.8084,6.3045
2022-09-01,-0.0456,0.2313,1.8386,6.2764
2022-10-01,-0.3292,0.2757,1.7714,6.295
2022-11-01,-0.3041,0.1731,1.7584,6.3831
2022-12-01,-0.1989,0.0698,1.7552,6.3969
2023-01-01,0.2444,0.1021,1.746,6.4635
2023-02-01,0.2494,-0.0002,1.7706,6.207
2023-03-01,0.4236,-0.0172,1.7707,6.0746
2023-04-01,0.2578,0.0691,1.7956,5.9755
2023-05-01,-0.0036,0.2139,1.7667,5.7647
2023-06-01,-0.1557,0.2606,1.8223,5.7188
2023-07-01,-0.2218,0.0033,1.8876,5.689
2023-08-01,0.2993,0.0828,1.8296,5.6533
2023-09-01,0.1002,0.1151,1.7802,5.78
2023-10-01,0.2829,0.172,1.8485,5.7396
2023-11-01,0.0716,0.332,1.8552,5.6536
2023-12-01,0.28,0.0761,1.9159,5.6363
2024-01-01,0.327,0.0441,1.8799,5.7231
2024-02-01,0.2539,0.14,1.949,5.6157
2024-03-01,0.2223,-0.0102,1.9356,5.5229
2024-04-01,0.0757,0.1905,1.9488,5.6017
2024-05-01,0.186,0.2202,2.0301,5.5836
2024-06-01,0.0885,0.2888,2.0203,5.6675
2024-07-01,-0.1387,0.1951,1.9724,5.7169
2024-08-01,-0.3196,0.2679,1.9573,5.8635
2024-09-01,-0.1652,0.3444,1.9952,5.8089
2024-10-01,0.2319,0.3144,1.9284,5.7986
2024-11-01,0.2459,0.2935,1.9711,5.7667
2024-12-01,0.2007,0.2825,1.953,5.642
