date,gdp_growth,inflation,interest_rate,unemployment,exchange_rate
2014-06-01,0.0132,0.2368,11.7504,6.4566,1.9162
2014-07-01,-0.0366,0.3512,11.3016,6.3187,2.0194
2014-08-01,-0.1168,0.5592,11.2686,6.415,2.1312
2014-09-01,-0.2234,0.4041,11.4763,6.7539,2.2243
2014-10-01,-0.1889,0.3145,11.4399,6.5549,2.2459
2014-11-01,0.3662,0.0324,11.4171,6.3639,2.3435
2014-12-01,0.0466,0.1466,11.6081,6.3411,2.349
2015-01-01,0.3731,0.086,11.819,6.2721,2.3681
2015-02-01,-0.1937,0.1265,11.7522,6.4625,2.2962
2015-03-01,-0.186,0.1007,11.9655,6.5588,2.3284
2015-04-01,-0.0314,0.2013,11.946,6.3334,2.3373
2015-05-01,0.2039,0.0172,11.6864,6.4369,2.2522
2015-06-01,0.4061,-0.0589,11.4655,6.3522,2.2532
2015-07-01,0.5723,0.4311,11.2255,6.5321,2.2524
2015-08-01,0.346,0.2371,11.0577,6.4421,2.3819
2015-09-01,0.1535,0.1396,10.9751,6.3735,2.4516
2015-10-01,0.4148,0.5163,11.242,6.4583,2.4573
2015-11-01,0.283,0.9213,11.8004,6.5861,2.4807
2015-12-01,-0.1346,0.5731,11.6059,6.7033,2.489
2016-01-01,-0.3842,0.4673,11.7444,6.5208,2.4788
2016-02-01,-0.4948,0.505,11.6005,6.6901,2.4044
2016-03-01,-0.1472,0.7375,11.8367,6.5821,2.3983
2016-04-01,-0.0103,0.4814,11.8631,6.6551,2.3499
2016-05-01,0.2499,0.4261,11.5316,6.4504,2.268
2016-06-01,0.0968,0.5436,11.8037,6.5496,2.3076
2016-07-01,0.1653,0.5685,11.7631,6.4501,2.3395
2016-08-01,0.3534,0.4631,11.7071,6.2644,2.2219
2016-09-01,0.2046,0.431,11.5371,6.4004,2.2182
2016-10-01,0.3302,0.2239,11.3965,6.4476,2.29
2016-11-01,0.0826,0.2598,11.4902,6.3894,2.3687
2016-12-01,-0.0011,0.2789,11.4615,6.6516,2.4476
2017-01-01,-0.0653,0.3661,11.564,6.626,2.4553
2017-02-01,-0.3545,0.3047,11.6496,6.7012,2.3987
2017-03-01,-0.052,0.4188,11.9569,6.7787,2.3266
2017-04-01,-0.1272,0.5741,11.9627,6.7273,2.3555
2017-05-01,-0.0353,0.5465,11.7332,6.8324,2.3872
2017-06-01,0.1695,0.558,12.0273,6.7621,2.4862
2017-07-01,0.3026,0.5207,12.0159,6.6997,2.5747
2017-08-01,0.4614,0.4884,12.2845,6.8899,2.5697
2017-09-01,0.3435,0.3593,12.3548,6.7239,2.4805
2017-10-01,0.1634,0.431,12.3401,6.3767,2.4618
2017-11-01,0.1405,0.4155,12.4175,6.6492,2.4828
2017-12-01,-0.3579,0.7341,12.9071,7.1014,2.4727
2018-01-01,-0.6346,0.8632,13.436,7.12,2.4351
2018-02-01,-0.7911,0.7689,13.5088,6.9238,2.4586
2018-03-01,-0.8029,0.5353,13.526,6.9806,2.4265
2018-04-01,-0.3921,0.3311,13.6643,6.9976,2.386
2018-05-01,-0.4961,0.5439,13.4751,7.0388,2.4132
2018-06-01,-0.4107,0.5429,13.5308,6.9314,2.3891
2018-07-01,0.1523,0.5749,13.5216,7.0258,2.4114
2018-08-01,0.0497,0.262,13.4869,7.1185,2.4362
2018-09-01,0.306,0.4594,13.2837,6.879,2.359
2018-10-01,-0.0159,0.5168,12.9567,7.0103,2.3298
2018-11-01,-0.0227,0.3194,12.49,7.3401,2.4374
2018-12-01,-0.2509,0.2868,12.2281,7.3973,2.3586
2019-01-01,-0.2274,0.376,12.1378,7.3736,2.2179
2019-02-01,0.1429,0.4023,12.0929,7.343,2.1016
2019-03-01,-0.3681,0.3677,12.486,7.4784,2.1077
2019-04-01,-0.0774,0.3735,12.695,7.2274,2.1139
2019-05-01,0.0672,0.3549,12.4743,7.2563,2.1106
2019-06-01,-0.0812,0.4036,12.5412,7.2156,2.1933
2019-07-01,-0.4407,0.6331,12.5226,7.5482,2.0284
2019-08-01,-0.2368,0.1765,12.3926,7.5438,2.0567
2019-09-01,-0.2746,0.2292,12.3788,7.8197,2.1597
2019-10-01,-0.0724,0.3255,12.4813,7.6486,2.092
2019-11-01,0.0058,0.4059,12.4112,7.7302,2.0724
2019-12-01,0.5346,0.3581,12.6108,7.7154,2.0302
2020-01-01,0.3524,0.1192,12.2876,7.5412,1.9804
2020-02-01,-0.0103,0.2767,12.2575,7.5672,1.9651
2020-03-01,0.0965,0.589,12.8409,7.7367,2.0551
2020-04-01,0.1836,0.3027,12.8343,7.6603,2.1759
2020-05-01,0.5863,0.4764,13.1221,7.3415,2.1584
2020-06-01,0.7109,0.4104,13.1074,7.2741,2.29
2020-07-01,0.6547,0.4075,13.1905,7.0823,2.297
2020-08-01,0.9473,0.257,13.0967,6.9529,2.4259
2020-09-01,0.3565,0.2669,12.9878,6.9269,2.424
2020-10-01,0.1076,0.5185,12.8381,6.6832,2.4384
2020-11-01,-0.1527,0.5744,12.9545,6.4888,2.4702
2020-12-01,-0.1738,0.7832,12.8715,6.619,2.7228
2021-01-01,-0.4847,0.8357,13.1117,6.6243,2.7989
2021-02-01,-0.0987,0.7591,13.4009,6.2845,2.7456
2021-03-01,-0.0858,0.905,13.5757,6.4594,2.8322
2021-04-01,-0.4513,0.8041,13.5809,6.587,2.8073
2021-05-01,-0.5706,0.7969,13.7317,6.5735,2.7719
2021-06-01,-0.2553,0.6235,13.6704,6.4386,2.8542
2021-07-01,0.1227,0.5652,13.8436,6.5941,2.8625
2021-08-01,0.7349,0.4128,13.4089,6.6093,2.8924
2021-09-01,1.4386,0.5668,13.3414,6.8584,2.8994
2021-10-01,1.1813,0.3416,12.8787,6.829,2.9346
2021-11-01,0.5801,0.4894,12.5825,6.856,2.9782
2021-12-01,-0.1836,0.4395,12.858,6.8751,2.8157
2022-01-01,0.0018,0.6114,13.0776,7.0224,2.8784
2022-02-01,-0.1926,0.66,12.9778,7.1545,2.8004
2022-03-01,-0.2094,0.8521,12.7841,7.377,2.6872
2022-04-01,-0.2802,0.8135,12.296,7.3318,2.6879
2022-05-01,-0.1884,0.443,12.2054,7.292,2.7
2022-06-01,0.2379,0.4279,12.7076,7.2047,2.6497
2022-07-01,0.2637,0.2523,12.7349,7.3088,2.7221
2022-08-01,0.187,0.2363,12.5571,7.5225,2.6199
2022-09-01,-0.1298,0.5303,12.6813,7.4657,2.5933
2022-10-01,-0.5433,0.5903,12.4122,7.4577,2.5533
2022-11-01,-0.4762,0.4289,12.3607,7.5541,2.5548
2022-12-01,-0.2995,0.2767,12.3456,7.5451,2.5814
2023-01-01,0.3708,0.3348,12.3115,7.649,2.5095
2023-02-01,0.3486,0.1851,12.4097,7.2704,2.5698
2023-03-01,0.5888,0.1697,12.409,7.0967,2.5798
2023-04-01,0.3124,0.3071,12.5143,6.9642,2.4423
2023-05-01,-0.0868,0.5229,12.4078,6.6463,2.3076
2023-06-01,-0.3003,0.5812,12.6413,6.5659,2.3114
2023-07-01,-0.3778,0.1841,12.8903,6.5038,2.3007
2023-08-01,0.4241,0.3153,12.6463,6.471,2.2981
2023-09-01,0.1005,0.3658,12.4462,6.6691,2.3008
2023-10-01,0.3719,0.4498,12.726,6.6284,2.3211
2023-11-01,0.0394,0.6848,12.7569,6.5047,2.3928
2023-12-01,0.3571,0.2856,12.9855,6.5003,2.319
2024-01-01,0.4154,0.247,12.8218,6.6561,2.2433
2024-02-01,0.2938,0.3992,13.0915,6.5141,2.1753
2024-03-01,0.2434,0.1722,13.0149,6.3926,2.1986
2024-04-01,0.024,0.4833,13.0608,6.5183,2.2869
2024-05-01,0.2006,0.5194,13.3765,6.5042,2.262
2024-06-01,0.0539,0.6146,13.3197,6.6358,2.1026
2024-07-01,-0.2799,0.4639,13.1047,6.6963,2.0018
2024-08-01,-0.5293,0.5736,13.0318,6.8866,1.9563
2024-09-01,-0.2688,0.6831,13.1756,6.7828,1.9277
2024-10-01,0.3356,0.6289,12.8924,6.7761,1.9081
2024-11-01,0.3329,0.594,13.0534,6.7402,1.9141
2024-12-01,0.2474,0.5766,12.966,6.5634,1.9001
