date,gdp_growth,inflation,fed_funds,unemployment
2006-10-01,1.7951,0.8272,0.8189,2.0
2007-01-01,1.407,0.8273,0.7754,2.0
2007-04-01,1.0812,1.588,1.5494,2.0
2007-07-01,0.3498,0.8456,1.9181,2.0
2007-10-01,0.7531,0.1437,1.9598,2.0
2008-01-01,0.0572,0.0206,1.7692,2.0
2008-04-01,0.179,0.0901,1.4137,2.0
2008-07-01,1.3784,-0.6643,1.0159,2.0
2008-10-01,1.4499,-0.4002,0.3412,2.0
2009-01-01,2.4053,-0.5486,0.5779,2.0
2009-04-01,1.8504,-0.5477,0.4637,2.0
2009-07-01,1.9303,0.5266,0.9966,2.0
2009-10-01,2.5787,0.8976,1.4546,2.0
2010-01-01,1.8468,0.6479,1.8784,2.0
2010-04-01,1.8642,0.7043,2.243,2.0
2010-07-01,2.5074,1.1792,1.8229,2.0
2010-10-01,0.9741,0.8366,2.3601,2.0
2011-01-01,0.3608,0.3693,2.1384,2.0
2011-04-01,0.0681,0.5113,2.2593,2.0
2011-07-01,-1.1523,0.4511,1.9705,2.0
2011-10-01,0.6071,-0.2674,1.3429,2.0
2012-01-01,-0.2564,0.3872,1.3269,2.0
2012-04-01,-0.2,0.6172,1.5234,2.0
2012-07-01,0.3104,0.6339,1.1251,2.0
2012-10-01,0.3901,0.6767,1.4066,2.0
2013-01-01,0.437,1.1404,1.207,2.0
2013-04-01,0.6358,1.2546,1.3068,2.0
2013-07-01,1.1525,1.3892,1.6154,2.1616
2013-10-01,0.7621,0.3417,2.0311,2.0774
2014-01-01,0.8098,0.8806,1.4567,2.0
2014-04-01,-0.2678,0.33,1.4726,2.0
2014-07-01,0.3274,-0.2063,0.4684,2.0
2014-10-01,0.3153,0.0799,0.6283,2.0276
2015-01-01,1.0505,0.2904,0.7755,2.0
2015-04-01,0.8689,0.4001,1.0626,2.0
2015-07-01,1.1778,0.3578,1.0063,2.0
2015-10-01,-0.2199,-0.2483,0.411,2.0
2016-01-01,-0.1366,0.137,0.2308,2.0
2016-04-01,1.0017,0.7595,0.3076,2.0
2016-07-01,0.9879,0.3492,0.2308,2.0
2016-10-01,0.4046,0.1788,0.5343,2.0
2017-01-01,-0.256,0.2669,0.1826,2.0
2017-04-01,0.1477,-0.4627,0.3119,2.0
2017-07-01,0.2016,-0.694,0.0,2.0083
2017-10-01,0.4951,-0.3081,0.0,2.286
2018-01-01,0.5329,-0.7273,0.1763,2.2166
2018-04-01,1.5086,-0.1919,0.112,2.0
2018-07-01,2.5727,0.9456,0.4459,2.0
2018-10-01,2.5274,0.6412,0.8477,2.0
2019-01-01,2.0285,0.3926,0.5273,2.0
2019-04-01,0.8648,0.2417,0.5466,2.0
2019-07-01,1.5869,0.0484,0.654,2.0
2019-10-01,1.1547,0.283,0.9108,2.0
2020-01-01,1.7118,0.0365,0.8799,2.0
2020-04-01,1.5405,0.7872,1.0586,2.0
2020-07-01,1.1768,0.6789,0.9141,2.0
2020-10-01,0.4739,0.8365,1.3452,2.0
2021-01-01,0.3724,0.8778,1.2406,2.0
2021-04-01,-0.6647,0.4688,0.5267,2.0
2021-07-01,0.8106,0.8386,0.3343,2.0
2021-10-01,-1.0692,0.2926,1.0939,2.0
2022-01-01,-0.6594,0.3831,0.3999,2.0
2022-04-01,0.029,0.291,0.5655,2.0
2022-07-01,0.8027,0.0738,0.7683,2.1568
2022-10-01,0.2423,-0.2508,1.0533,2.2283
2023-01-01,1.4256,-0.146,1.3347,2.0866
2023-04-01,1.3866,0.6668,1.261,2.0
2023-07-01,0.8385,0.7695,0.8448,2.0
2023-10-01,0.4632,1.0625,0.2455,2.0
2024-01-01,-0.4872,0.4072,0.372,2.0
2024-04-01,-0.0919,0.2625,0.3662,2.0
2024-07-01,0.7673,0.5703,0.5248,2.0
2024-10-01,0.9846,1.3173,0.7337,2.0
