date,actual,fc_arima,fc_ets,fc_var,fc_naive,fc_drift
2020-12-01,0.0944,0.2523,0.2022,-0.0305,0.2261,0.1387
2021-01-01,0.048,0.0537,0.0819,0.105,0.0944,0.1086
2021-02-01,0.0643,0.0536,0.2287,0.0486,0.048,0.1023
2021-03-01,0.2348,0.3717,0.2687,0.0151,0.0643,0.4301
2021-04-01,0.3169,0.2483,0.3897,0.4283,0.2348,0.322
2021-05-01,0.4183,0.3667,0.3787,0.3457,0.3169,0.4045
2021-06-01,0.3542,0.4256,0.3508,0.2901,0.4183,0.3011
2021-07-01,0.3461,0.3345,0.2663,0.2177,0.3542,0.2687
2021-08-01,0.3625,0.3821,0.4515,0.284,0.3461,0.2669
2021-09-01,0.2614,0.2683,0.1336,0.3127,0.3625,0.1986
2021-10-01,0.2656,0.3126,0.3338,0.2429,0.2614,0.2773
2021-11-01,0.1631,0.2957,0.1341,0.2026,0.2656,0.2121
2021-12-01,0.1447,0.172,0.2519,0.1882,0.1631,0.1691
2022-01-01,0.1559,0.2274,0.221,0.3144,0.1447,0.1076
2022-02-01,0.1068,-0.0373,0.2788,0.0656,0.1559,0.2092
2022-03-01,0.2614,0.2775,0.3245,0.0842,0.1068,0.3502
2022-04-01,0.273,0.2255,0.1058,0.401,0.2614,0.2817
2022-05-01,0.322,0.2445,0.3053,0.2822,0.273,0.2872
2022-06-01,0.3824,0.3321,0.2552,0.5161,0.322,0.4565
2022-07-01,0.3932,0.3865,0.3314,0.4392,0.3824,0.4357
2022-08-01,0.3971,0.4904,0.5382,0.3814,0.3932,0.2932
2022-09-01,0.305,0.2189,0.3587,0.3468,0.3971,0.3262
2022-10-01,0.2059,0.2284,0.126,0.44,0.305,0.2576
2022-11-01,0.1826,0.1638,0.0712,0.4318,0.2059,0.1306
2022-12-01,0.0249,0.0187,0.0182,0.0333,0.1826,0.0719
2023-01-01,-0.0285,0.0717,-0.1602,-0.0093,0.0249,-0.1288
2023-02-01,-0.0258,0.0373,-0.1029,0.1034,-0.0285,0.126
2023-03-01,0.0268,0.1538,0.048,-0.0747,-0.0258,0.1715
2023-04-01,0.2074,0.215,0.3129,0.2474,0.0268,0.2179
2023-05-01,0.1876,0.1519,0.2384,0.1845,0.2074,0.2543
2023-06-01,0.2091,0.2112,-0.03,0.2468,0.1876,0.0271
2023-07-01,0.3658,0.4052,0.3863,0.2658,0.2091,0.2975
2023-08-01,0.2772,0.3113,0.2744,0.0864,0.3658,0.2873
2023-09-01,0.3106,0.2439,0.342,0.0619,0.2772,0.2515
2023-10-01,0.1585,0.1858,0.3102,0.0244,0.3106,0.2611
2023-11-01,0.1392,0.1775,-0.0771,0.0842,0.1585,0.358
2023-12-01,0.0705,0.2919,0.0014,0.0353,0.1392,0.0045
2024-01-01,0.1119,0.2821,0.161,0.3444,0.0705,0.0773
2024-02-01,0.2818,0.2335,0.1136,0.4145,0.1119,0.3446
2024-03-01,0.1537,0.1507,0.2913,0.0383,0.2818,0.3412
2024-04-01,0.2934,0.1963,0.3202,0.3351,0.1537,0.2266
2024-05-01,0.3578,0.3305,0.4324,0.3089,0.2934,0.4243
2024-06-01,0.2981,0.3434,0.231,0.264,0.3578,0.507
2024-07-01,0.1492,0.2656,0.2206,0.1714,0.2981,0.0463
2024-08-01,0.1792,0.1409,0.276,0.2535,0.1492,0.1105
2024-09-01,0.1202,0.0879,0.1335,0.0795,0.1792,0.1296
2024-10-01,0.1514,-0.0004,0.1648,0.2791,0.1202,0.1529
2024-11-01,0.1573,0.1643,0.1743,0.0203,0.1514,0.2796
2024-12-01,0.3374,0.2724,0.2411,0.3382,0.1573,0.4092
